Material_Quality,Concrete_Grade,Steel_Grade,Age_of_Building,No_of_Floors,Foundation_Depth,Soil_Type,Seismic_Zone,Load_Bearing_Capacity,Moisture_Exposure,Maintenance_Frequency,Strength,Durability
7,M20,Fe500,19,16,12.1,Clay,III,492,Medium,4,85.83,56.31
6,M30,Fe500,48,8,19.6,Sandy,V,158,Medium,4,93.39,68.07
5,M25,Fe500,52,18,8.3,Rocky,I,578,Low,4,56.93,45.39
4,M20,Fe500,15,12,4.6,Rocky,V,162,Low,5,39.12,43.08
7,M30,Fe415,20,15,16.8,Clay,III,420,High,0,91.87,50.63
5,M20,Fe500,11,14,13.1,Rocky,III,357,High,0,55.37,23.73
2,M40,Fe500,26,16,7.2,Clay,IV,309,Low,3,44.15,38.61
7,M30,Fe415,59,19,7.1,Sandy,IV,179,Low,4,76.13,60.43
8,M40,Fe500,41,18,9.0,Loam,II,359,Low,2,107.08,83.84
10,M40,Fe415,10,6,8.0,Rocky,V,452,Medium,5,110.91,80.89
6,M25,Fe415,35,2,11.9,Loam,V,277,Medium,4,61.15,52.19
2,M25,Fe415,24,19,17.1,Clay,I,443,Low,5,56.03,48.8
8,M40,Fe500,14,8,6.8,Sandy,IV,510,High,5,102.77,65.6
2,M25,Fe415,18,9,6.6,Clay,III,321,High,0,30.74,14.06
10,M40,Fe500,29,6,16.0,Loam,V,248,Low,0,124.78,87.01
6,M40,Fe415,41,5,3.9,Rocky,II,562,Medium,5,74.6,41.48
9,M30,Fe500,53,15,18.3,Loam,V,580,High,3,119.7,76.86
10,M40,Fe500,32,8,13.2,Rocky,III,450,Medium,1,120.47,79.95
1,M40,Fe415,31,23,17.9,Clay,IV,221,Low,3,60.29,45.92
7,M20,Fe415,55,1,19.4,Rocky,II,510,High,0,84.61,38.98
5,M25,Fe500,38,11,10.2,Loam,II,311,Low,5,62.8,61.04
7,M20,Fe415,54,1,18.1,Rocky,II,277,Low,3,82.73,69.11
6,M20,Fe415,45,7,16.6,Rocky,III,552,Medium,1,90.56,60.17
5,M40,Fe500,23,3,5.3,Sandy,V,203,High,2,71.49,42.83
7,M20,Fe415,43,19,13.6,Loam,II,503,Medium,4,100.38,74.69
7,M25,Fe415,41,23,18.6,Sandy,III,180,Low,0,85.43,56.25
1,M30,Fe415,1,1,10.9,Loam,III,465,Low,3,25.69,22.17
1,M40,Fe500,2,1,18.6,Rocky,V,505,High,3,63.0,40.73
5,M20,Fe500,51,15,18.3,Sandy,V,155,Medium,4,67.28,51.21
3,M25,Fe415,44,10,12.4,Clay,III,302,Low,0,63.52,42.37
